,2500.0,6500.0,period,site
0,24.02946548212078,25.004017442519775,baseline,RandomSite0
1,3467.0,9555.0,future,RandomSite0
2,19.80728013276624,19.960664990711315,baseline,RandomSite1
3,27500.0,27500.0,future,RandomSite1
4,18.30361680562118,18.38752872434037,baseline,RandomSite2
5,42.0,52.0,future,RandomSite2
6,16.512359366247427,16.56727299394617,baseline,RandomSite3
7,25.0,27.0,future,RandomSite3
8,18.534317028802473,18.67027296959654,baseline,RandomSite4
9,188.0,294.0,future,RandomSite4
10,16.842304183097706,16.889734001975828,baseline,RandomSite5
11,9.0,10.0,future,RandomSite5
12,18.750413541456716,19.613245831851998,baseline,RandomSite6
13,27500.0,27500.0,future,RandomSite6
14,23.49205718630904,24.45044731669185,baseline,RandomSite7
15,2074.0,5076.0,future,RandomSite7
16,22.197910092186145,23.177987688905787,baseline,RandomSite8
17,1548.0,3793.0,future,RandomSite8
18,19.610599413550865,19.754398051681726,baseline,RandomSite9
19,171.0,199.0,future,RandomSite9
20,22.45923034420423,23.369550605215423,baseline,RandomSite10
21,1266.0,2950.0,future,RandomSite10
